#TYPE System.Management.Automation.PSCustomObject
"User Status","Asset ID","WF Id","Modified"
"Librarian Assigned to Form","AS499","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:30:10 PM"
"Uploading Assets","AS501","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:32:09 PM"
"Librarian Assigned to Form","AS515","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:33:10 PM"
,"AS515","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:33:10 PM"
"Pending Librarian Assignment","AS517","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:33:37 PM"
"Librarian Assigned to Form","AS521","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:34:18 PM"
,"AS521","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:34:18 PM"
"Librarian Assigned to Form","AS522","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:34:32 PM"
,"AS522","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:34:32 PM"
,"AS524","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:35:19 PM"
"Librarian Assigned to Form","AS524","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:35:19 PM"
"Librarian Assigned to Form","AS530","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:36:57 PM"
,"AS530","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:36:57 PM"
"Extracting URL Objects","AS538","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:38:36 PM"
,"AS554","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:43:17 PM"
"Extracting URL Objects","AS554","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:43:17 PM"
"Generating Submission ID","AS565","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:46:39 PM"
"Librarian Assigned to Form","AS572","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:48:55 PM"
"Pending Librarian Assignment","AS573","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:48:00 PM"
"Pending Librarian Assignment","AS581","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:50:10 PM"
,"AS586","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:51:39 PM"
"Pending Librarian Assignment","AS586","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:51:39 PM"
,"AS588","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:52:02 PM"
"Registering Reuses","AS588","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:52:02 PM"
,"AS589","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:52:18 PM"
"Registering Reuses","AS589","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:52:18 PM"
,"AS590","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:52:32 PM"
"Registering Reuses","AS590","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:52:32 PM"
,"AS591","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:52:44 PM"
"Registering Reuses","AS591","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:52:44 PM"
,"AS592","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:52:55 PM"
"Registering Reuses","AS592","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:52:55 PM"
,"AS593","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:53:11 PM"
"Registering Reuses","AS593","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:53:11 PM"
"Registering Reuses","AS594","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:53:19 PM"
,"AS594","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:53:19 PM"
,"AS595","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:53:28 PM"
"Registering Reuses","AS595","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:53:28 PM"
"Registering Reuses","AS596","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:53:39 PM"
,"AS596","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:53:39 PM"
"Registering Reuses","AS597","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:53:50 PM"
,"AS598","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:53:57 PM"
"Registering Reuses","AS598","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:53:57 PM"
"Registering Reuses","AS599","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:54:08 PM"
,"AS599","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:54:08 PM"
"Registering Reuses","AS602","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:55:04 PM"
,"AS602","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:55:04 PM"
,"AS603","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:55:12 PM"
"Registering Reuses","AS603","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:55:12 PM"
,"AS604","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:55:28 PM"
